Date,Latitude,Longitude,Temperature_C
06-04-2025,24.5,84.5,39.280754
07-04-2025,17.5,80.5,37.530544
07-04-2025,17.5,81.5,36.264015
07-04-2025,17.5,82.5,35.021526
07-04-2025,17.5,83.5,35.27422
07-04-2025,17.5,84.5,
07-04-2025,18.5,80.5,38.437386
07-04-2025,18.5,81.5,36.742733
07-04-2025,18.5,82.5,36.374943
07-04-2025,18.5,83.5,36.23394
07-04-2025,18.5,84.5,36.18955
07-04-2025,19.5,80.5,40.15162
07-04-2025,19.5,81.5,39.49977
07-04-2025,19.5,82.5,37.810272
07-04-2025,19.5,83.5,37.66782
07-04-2025,19.5,84.5,37.62038
07-04-2025,20.5,80.5,41.300766
07-04-2025,20.5,81.5,40.76346
07-04-2025,20.5,82.5,41.00743
07-04-2025,20.5,83.5,40.349518
07-04-2025,20.5,84.5,38.136265
07-04-2025,21.5,80.5,41.178402
07-04-2025,21.5,81.5,40.910484
07-04-2025,21.5,82.5,41.218586
07-04-2025,21.5,83.5,40.676754
07-04-2025,21.5,84.5,39.073895
07-04-2025,22.5,80.5,40.818905
07-04-2025,22.5,81.5,40.64976
07-04-2025,22.5,82.5,39.946808
07-04-2025,22.5,83.5,39.43549
07-04-2025,22.5,84.5,38.22937
07-04-2025,23.5,80.5,40.500725
07-04-2025,23.5,81.5,39.644634
07-04-2025,23.5,82.5,39.826424
07-04-2025,23.5,83.5,39.7141
07-04-2025,23.5,84.5,38.09148
07-04-2025,24.5,80.5,40.797546
07-04-2025,24.5,81.5,40.40444
07-04-2025,24.5,82.5,40.194553
07-04-2025,24.5,83.5,39.681698
07-04-2025,24.5,84.5,38.176117
08-04-2025,17.5,80.5,36.97111
08-04-2025,17.5,81.5,35.664318
08-04-2025,17.5,82.5,34.455444
08-04-2025,17.5,83.5,34.63785
08-04-2025,17.5,84.5,
08-04-2025,18.5,80.5,37.725105
08-04-2025,18.5,81.5,35.98649
08-04-2025,18.5,82.5,35.75085
08-04-2025,18.5,83.5,35.786865
08-04-2025,18.5,84.5,35.62867
08-04-2025,19.5,80.5,39.119545
08-04-2025,19.5,81.5,38.511337
08-04-2025,19.5,82.5,37.009773
08-04-2025,19.5,83.5,36.816963
08-04-2025,19.5,84.5,36.904236
08-04-2025,20.5,80.5,40.43763
08-04-2025,20.5,81.5,39.54902
08-04-2025,20.5,82.5,39.81398
08-04-2025,20.5,83.5,39.541653
08-04-2025,20.5,84.5,37.400074
08-04-2025,21.5,80.5,40.237804
08-04-2025,21.5,81.5,40.318886
08-04-2025,21.5,82.5,40.702377
08-04-2025,21.5,83.5,39.949234
08-04-2025,21.5,84.5,37.91127
08-04-2025,22.5,80.5,40.441883
08-04-2025,22.5,81.5,39.908432
08-04-2025,22.5,82.5,39.304043
08-04-2025,22.5,83.5,38.528713
08-04-2025,22.5,84.5,37.135765
08-04-2025,23.5,80.5,40.192924
08-04-2025,23.5,81.5,39.061436
08-04-2025,23.5,82.5,39.137287
08-04-2025,23.5,83.5,38.309628
08-04-2025,23.5,84.5,36.399292
08-04-2025,24.5,80.5,40.764523
08-04-2025,24.5,81.5,39.922726
08-04-2025,24.5,82.5,38.917553
08-04-2025,24.5,83.5,38.31184
08-04-2025,24.5,84.5,37.030224
09-04-2025,17.5,80.5,37.22232
09-04-2025,17.5,81.5,35.862865
09-04-2025,17.5,82.5,34.413876
09-04-2025,17.5,83.5,34.31451
09-04-2025,17.5,84.5,
09-04-2025,18.5,80.5,37.941757
09-04-2025,18.5,81.5,36.05396
09-04-2025,18.5,82.5,35.57846
09-04-2025,18.5,83.5,35.106655
09-04-2025,18.5,84.5,34.8931
09-04-2025,19.5,80.5,38.69091
09-04-2025,19.5,81.5,38.202545
09-04-2025,19.5,82.5,36.17919
09-04-2025,19.5,83.5,36.2057
09-04-2025,19.5,84.5,36.31452
09-04-2025,20.5,80.5,39.595566
09-04-2025,20.5,81.5,38.63782
09-04-2025,20.5,82.5,39.165092
09-04-2025,20.5,83.5,38.702156
09-04-2025,20.5,84.5,36.754013
09-04-2025,21.5,80.5,39.341225
09-04-2025,21.5,81.5,38.90985
09-04-2025,21.5,82.5,39.366604
09-04-2025,21.5,83.5,39.08145
09-04-2025,21.5,84.5,37.49605
09-04-2025,22.5,80.5,39.29774
09-04-2025,22.5,81.5,38.57044
09-04-2025,22.5,82.5,38.487038
09-04-2025,22.5,83.5,37.99156
09-04-2025,22.5,84.5,36.537
09-04-2025,23.5,80.5,39.312286
09-04-2025,23.5,81.5,38.27967
09-04-2025,23.5,82.5,38.646587
09-04-2025,23.5,83.5,38.052483
09-04-2025,23.5,84.5,36.03359
09-04-2025,24.5,80.5,40.22716
09-04-2025,24.5,81.5,39.61585
09-04-2025,24.5,82.5,38.590935
09-04-2025,24.5,83.5,37.87135
09-04-2025,24.5,84.5,35.86741
10-04-2025,17.5,80.5,37.684204
10-04-2025,17.5,81.5,36.13211
10-04-2025,17.5,82.5,34.72828
10-04-2025,17.5,83.5,34.55376
10-04-2025,17.5,84.5,
10-04-2025,18.5,80.5,38.296818
10-04-2025,18.5,81.5,36.3486
10-04-2025,18.5,82.5,35.815746
10-04-2025,18.5,83.5,35.381523
10-04-2025,18.5,84.5,35.39714
10-04-2025,19.5,80.5,39.505264
10-04-2025,19.5,81.5,39.017117
10-04-2025,19.5,82.5,36.489258
10-04-2025,19.5,83.5,36.70533
10-04-2025,19.5,84.5,36.71403
10-04-2025,20.5,80.5,40.727413
10-04-2025,20.5,81.5,39.444603
10-04-2025,20.5,82.5,39.702274
10-04-2025,20.5,83.5,39.329487
10-04-2025,20.5,84.5,37.240417
10-04-2025,21.5,80.5,40.14151
10-04-2025,21.5,81.5,39.74048
10-04-2025,21.5,82.5,39.812874
10-04-2025,21.5,83.5,38.93784
10-04-2025,21.5,84.5,37.27778
10-04-2025,22.5,80.5,39.771732
10-04-2025,22.5,81.5,39.103672
10-04-2025,22.5,82.5,37.929
10-04-2025,22.5,83.5,37.41563
10-04-2025,22.5,84.5,35.622246
10-04-2025,23.5,80.5,38.864273
10-04-2025,23.5,81.5,37.221016
10-04-2025,23.5,82.5,37.02853
10-04-2025,23.5,83.5,36.180946
10-04-2025,23.5,84.5,34.272335
10-04-2025,24.5,80.5,37.601944
10-04-2025,24.5,81.5,36.834316
10-04-2025,24.5,82.5,35.71565
10-04-2025,24.5,83.5,34.37796
10-04-2025,24.5,84.5,33.928844
11-04-2025,17.5,80.5,37.51806
11-04-2025,17.5,81.5,36.26998
11-04-2025,17.5,82.5,34.75195
11-04-2025,17.5,83.5,34.37716
11-04-2025,17.5,84.5,
11-04-2025,18.5,80.5,38.22116
11-04-2025,18.5,81.5,36.5652
11-04-2025,18.5,82.5,35.88912
11-04-2025,18.5,83.5,35.1873
11-04-2025,18.5,84.5,35.106125
11-04-2025,19.5,80.5,39.90265
11-04-2025,19.5,81.5,39.208744
11-04-2025,19.5,82.5,36.96093
11-04-2025,19.5,83.5,36.6376
11-04-2025,19.5,84.5,36.537937
11-04-2025,20.5,80.5,40.93901
11-04-2025,20.5,81.5,39.598457
11-04-2025,20.5,82.5,39.948017
11-04-2025,20.5,83.5,39.06583
11-04-2025,20.5,84.5,36.776245
11-04-2025,21.5,80.5,40.16979
11-04-2025,21.5,81.5,39.584137
11-04-2025,21.5,82.5,39.457363
11-04-2025,21.5,83.5,38.560886
11-04-2025,21.5,84.5,37.695984
11-04-2025,22.5,80.5,39.4355
11-04-2025,22.5,81.5,39.231915
11-04-2025,22.5,82.5,37.992954
11-04-2025,22.5,83.5,36.82778
11-04-2025,22.5,84.5,35.797916
11-04-2025,23.5,80.5,38.90754
11-04-2025,23.5,81.5,37.444782
11-04-2025,23.5,82.5,37.333508
11-04-2025,23.5,83.5,36.327656
11-04-2025,23.5,84.5,35.016087
11-04-2025,24.5,80.5,38.4904
11-04-2025,24.5,81.5,37.81562
11-04-2025,24.5,82.5,36.443573
11-04-2025,24.5,83.5,35.28536
11-04-2025,24.5,84.5,34.233322
12-04-2025,17.5,80.5,39.29024
12-04-2025,17.5,81.5,37.97557
12-04-2025,17.5,82.5,36.277668
12-04-2025,17.5,83.5,36.121933
12-04-2025,17.5,84.5,
12-04-2025,18.5,80.5,39.262856
12-04-2025,18.5,81.5,37.808464
12-04-2025,18.5,82.5,37.338726
12-04-2025,18.5,83.5,36.760326
12-04-2025,18.5,84.5,36.6991
12-04-2025,19.5,80.5,39.59535
12-04-2025,19.5,81.5,40.101936
12-04-2025,19.5,82.5,37.85878
12-04-2025,19.5,83.5,37.887024
12-04-2025,19.5,84.5,37.853065
12-04-2025,20.5,80.5,40.15848
12-04-2025,20.5,81.5,39.423748
12-04-2025,20.5,82.5,40.636612
12-04-2025,20.5,83.5,40.00301
12-04-2025,20.5,84.5,38.23289
12-04-2025,21.5,80.5,38.61136
12-04-2025,21.5,81.5,39.350468
12-04-2025,21.5,82.5,39.587902
12-04-2025,21.5,83.5,39.94016
12-04-2025,21.5,84.5,38.841988
12-04-2025,22.5,80.5,38.183437
12-04-2025,22.5,81.5,39.01886
12-04-2025,22.5,82.5,38.592823
12-04-2025,22.5,83.5,38.323082
12-04-2025,22.5,84.5,37.58712
12-04-2025,23.5,80.5,37.92975
12-04-2025,23.5,81.5,37.04698
12-04-2025,23.5,82.5,37.941948
12-04-2025,23.5,83.5,37.834156
12-04-2025,23.5,84.5,36.545513
12-04-2025,24.5,80.5,37.980312
12-04-2025,24.5,81.5,37.78105
